epoch,clean_loss,clean_acc,robust_loss,robust_acc,eval_time_sec
5,1.243028,0.580400,1.725292,0.342400,51.54
10,1.049593,0.674500,1.640080,0.375400,51.07
15,0.979061,0.688900,1.648888,0.382000,51.19
20,0.977114,0.679100,1.598707,0.397600,51.18
25,0.925320,0.709700,1.559648,0.405900,51.17
30,0.868749,0.724800,1.586256,0.404900,51.15
35,0.876657,0.723500,1.530599,0.427100,51.14
40,0.867788,0.731600,1.577635,0.410100,51.16
45,0.887561,0.732100,1.578254,0.407600,51.10
50,0.842623,0.734100,1.583302,0.407000,51.15
55,0.840678,0.747100,1.551129,0.423300,51.12
60,0.832455,0.740500,1.552194,0.414900,51.13
65,0.844482,0.739300,1.561626,0.401900,51.15
70,0.835807,0.730400,1.585197,0.407400,51.17
75,0.823348,0.741000,1.584796,0.403400,51.15
80,0.836315,0.741400,1.579490,0.405100,51.14
85,0.794842,0.752400,1.545128,0.426100,51.11
90,0.807843,0.758900,1.586291,0.410400,51.10
95,0.797285,0.752200,1.594956,0.403300,51.10
100,0.797106,0.748000,1.592054,0.408800,51.13
105,0.584517,0.819400,1.476050,0.459100,51.10
110,0.571513,0.824500,1.556423,0.449600,51.11
115,0.561391,0.823100,1.678988,0.432200,51.13
120,0.570519,0.818200,1.748270,0.423600,51.19
125,0.577822,0.811100,1.848890,0.406300,51.17
130,0.575649,0.810900,1.944570,0.393800,51.15
135,0.560382,0.819400,1.918285,0.414500,51.15
140,0.556666,0.815200,1.994739,0.403800,51.15
145,0.560982,0.817800,2.019367,0.407500,51.17
150,0.573211,0.810400,2.131115,0.391400,51.12
155,0.532597,0.827000,2.455826,0.391700,51.16
160,0.530744,0.828800,2.611784,0.388100,51.15
165,0.547214,0.826400,2.841409,0.379800,51.14
170,0.547677,0.829800,2.954444,0.382200,51.15
175,0.563052,0.829600,3.125393,0.371900,51.15
180,0.578402,0.825000,3.322852,0.364200,51.14
185,0.594501,0.820900,3.409503,0.366700,51.14
190,0.601060,0.823500,3.538083,0.359000,51.16
195,0.611183,0.824900,3.686715,0.360400,51.17
200,0.623823,0.822200,3.748725,0.361800,51.18
