epoch,clean_loss_mean,clean_loss_std,clean_acc_mean,clean_acc_std,pixel_robust_loss_mean,pixel_robust_loss_std,pixel_robust_acc_mean,pixel_robust_acc_std,low_frequency_robust_loss_mean,low_frequency_robust_loss_std,low_frequency_robust_acc_mean,low_frequency_robust_acc_std,union_robust_acc_mean,union_robust_acc_std
5,0.665881,0.061397,0.773360,0.020141,18.491436,1.301274,0.000000,0.000000,0.753253,0.065294,0.743500,0.021243,0.000000,0.000000
10,0.525762,0.044052,0.819120,0.013297,20.677588,1.544510,0.000000,0.000000,0.607337,0.048832,0.790400,0.015978,0.000000,0.000000
15,0.506403,0.030758,0.828920,0.008381,22.829300,0.589638,0.000000,0.000000,0.587908,0.035048,0.801680,0.010146,0.000000,0.000000
20,0.510655,0.075796,0.828120,0.024535,24.790169,1.534043,0.000000,0.000000,0.596346,0.083266,0.800360,0.025894,0.000000,0.000000
25,0.472559,0.062894,0.841940,0.020335,25.170971,1.082020,0.000000,0.000000,0.556285,0.070620,0.815480,0.020886,0.000000,0.000000
30,0.433101,0.020540,0.854260,0.007704,26.150750,1.645603,0.000000,0.000000,0.518896,0.023934,0.825080,0.007282,0.000000,0.000000
35,0.442504,0.031429,0.849720,0.010179,25.214285,1.488450,0.000000,0.000000,0.523992,0.033784,0.822480,0.011096,0.000000,0.000000
40,0.444746,0.033975,0.851900,0.010478,25.849022,2.127316,0.000000,0.000000,0.529696,0.043152,0.823160,0.013439,0.000000,0.000000
45,0.451799,0.057703,0.846520,0.017402,27.648420,2.134922,0.000000,0.000000,0.537851,0.063980,0.818340,0.018287,0.000000,0.000000
50,0.465527,0.033789,0.844380,0.010268,28.324963,2.433315,0.000000,0.000000,0.559251,0.033091,0.814540,0.009983,0.000000,0.000000
55,0.448372,0.052057,0.851320,0.017171,27.344006,1.508570,0.000000,0.000000,0.533598,0.061415,0.824760,0.018454,0.000000,0.000000
60,0.411293,0.023367,0.863340,0.007923,27.055985,2.619436,0.000000,0.000000,0.496166,0.025436,0.833580,0.009133,0.000000,0.000000
65,0.420677,0.037327,0.856320,0.012394,29.160396,2.751806,0.000000,0.000000,0.507171,0.040351,0.829520,0.011980,0.000000,0.000000
