epoch,clean_loss,clean_acc,pixel_robust_loss,pixel_robust_acc,low_frequency_robust_loss,low_frequency_robust_acc,union_robust_acc,eval_time_sec
5,0.992465,0.687800,10.394922,0.000000,1.089409,0.642700,0.000000,67.55
10,1.046038,0.649700,11.004765,0.000000,1.140548,0.607900,0.000000,67.99
15,0.901714,0.753800,11.465454,0.000100,0.989294,0.710200,0.000100,68.71
20,1.106536,0.646500,12.268747,0.000000,1.192838,0.604200,0.000000,69.10
25,0.786907,0.784100,12.411370,0.000000,0.867951,0.749500,0.000000,69.29
30,0.862222,0.746500,12.983858,0.000000,0.942464,0.707600,0.000000,69.38
35,0.934505,0.707300,12.643250,0.000000,1.027461,0.662500,0.000000,69.42
40,0.907178,0.754700,12.625312,0.000000,0.998345,0.710900,0.000000,69.43
45,0.907289,0.729000,12.854165,0.000000,1.001729,0.683700,0.000000,69.45
50,0.777556,0.784100,12.813570,0.000000,0.863547,0.744500,0.000000,69.43
55,0.991383,0.697000,12.968999,0.000000,1.091037,0.649200,0.000000,69.44
60,1.013479,0.695700,13.189025,0.000000,1.116812,0.649100,0.000000,69.43
65,0.838752,0.767600,12.821376,0.000000,0.921273,0.730900,0.000000,69.44
70,0.955806,0.721900,12.945862,0.000100,1.047372,0.676100,0.000100,69.43
75,1.023345,0.687400,13.333034,0.000000,1.122625,0.640700,0.000000,69.43
80,1.013169,0.677100,12.901927,0.000000,1.111148,0.630000,0.000000,69.42
85,0.999256,0.692800,13.237804,0.000000,1.105509,0.647800,0.000000,69.43
90,1.016914,0.694400,13.269263,0.000000,1.118857,0.646900,0.000000,69.42
95,0.858495,0.749500,12.979024,0.000000,0.954420,0.703800,0.000000,69.42
100,0.941570,0.723100,13.195903,0.000100,1.038636,0.676900,0.000100,69.43
105,0.598113,0.829100,14.591693,0.000000,0.696667,0.792600,0.000000,69.43
110,0.508297,0.842900,14.578402,0.000000,0.618007,0.803900,0.000000,69.43
115,0.418612,0.870100,14.584540,0.000000,0.526814,0.833800,0.000000,69.42
120,0.543701,0.829500,14.372226,0.000000,0.670088,0.788200,0.000000,69.43
125,0.462866,0.856600,13.839073,0.000000,0.581356,0.816600,0.000000,69.44
130,0.544354,0.832600,13.680341,0.000000,0.664782,0.789100,0.000000,69.41
135,0.521064,0.843100,13.484675,0.000000,0.639500,0.801900,0.000000,69.43
140,0.540142,0.835800,13.245402,0.000000,0.653605,0.793200,0.000000,69.42
145,0.629349,0.809400,13.213506,0.000000,0.750092,0.763300,0.000000,69.43
150,0.552904,0.828600,13.106973,0.000000,0.667850,0.787800,0.000000,69.48
155,0.414990,0.871900,13.373766,0.000000,0.527963,0.837100,0.000000,69.43
160,0.408610,0.875100,13.248625,0.000000,0.522608,0.839700,0.000000,69.42
165,0.402234,0.878100,13.310175,0.000000,0.516466,0.839400,0.000000,69.43
170,0.403366,0.876100,13.160707,0.000000,0.519756,0.841900,0.000000,69.43
175,0.404579,0.876800,13.009965,0.000000,0.521947,0.839500,0.000000,69.43
180,0.407759,0.875500,12.869226,0.000000,0.527049,0.836900,0.000000,69.41
185,0.408158,0.873900,12.800923,0.000000,0.529861,0.835500,0.000000,69.42
190,0.401761,0.875800,12.703775,0.000000,0.523283,0.838100,0.000000,69.43
195,0.407066,0.875700,12.523527,0.000000,0.528207,0.836500,0.000000,69.43
200,0.397044,0.879400,12.395801,0.000000,0.516474,0.842200,0.000000,69.44
