epoch,clean_loss_mean,clean_loss_std,clean_acc_mean,clean_acc_std,pixel_robust_loss_mean,pixel_robust_loss_std,pixel_robust_acc_mean,pixel_robust_acc_std,low_frequency_robust_loss_mean,low_frequency_robust_loss_std,low_frequency_robust_acc_mean,low_frequency_robust_acc_std,union_robust_acc_mean,union_robust_acc_std
5,1.243684,0.194839,0.589440,0.072470,3.305907,3.353223,0.255380,0.144683,1.322022,0.198494,0.545060,0.075489,0.254800,0.144395
10,1.045385,0.069969,0.662480,0.027437,4.923949,4.433599,0.219080,0.200004,1.130887,0.079298,0.618640,0.032710,0.218940,0.199878
15,1.004474,0.094808,0.686040,0.030896,5.166771,4.790373,0.220060,0.200883,1.097747,0.093893,0.637440,0.032893,0.219960,0.200794
20,0.944346,0.092009,0.700060,0.030484,6.990568,4.867249,0.146640,0.200948,1.043096,0.095008,0.652000,0.034297,0.146540,0.200810
25,0.905376,0.098776,0.722620,0.030051,8.850570,4.033911,0.072380,0.161567,0.996688,0.105332,0.677220,0.037412,0.072380,0.161567
30,0.916604,0.106747,0.717500,0.032411,5.071578,4.690183,0.226300,0.207187,1.010737,0.113536,0.668920,0.038696,0.226240,0.207175
35,0.915167,0.109458,0.724300,0.027706,7.110756,4.975671,0.143480,0.196210,1.009434,0.112558,0.675080,0.032898,0.143440,0.196154
40,0.877936,0.111733,0.745600,0.039994,7.160617,5.088624,0.153800,0.210557,0.973831,0.114060,0.696820,0.043150,0.153800,0.210557
45,0.904373,0.103688,0.727500,0.035080,5.262302,4.977626,0.232500,0.212153,0.998789,0.111844,0.678140,0.042677,0.232380,0.212043
50,0.817940,0.067874,0.756120,0.026016,8.759201,3.996426,0.077400,0.173072,0.911487,0.073992,0.711040,0.028577,0.077400,0.173072
55,0.886614,0.099625,0.735060,0.030691,5.274449,4.974482,0.227440,0.207544,0.987753,0.100198,0.681540,0.035669,0.227360,0.207469
60,0.884364,0.098436,0.732520,0.034751,7.061275,4.958294,0.146160,0.200156,0.981230,0.103906,0.683460,0.040769,0.146080,0.200044
65,0.859370,0.122590,0.743580,0.041316,5.346823,5.052140,0.222240,0.203034,0.961640,0.124257,0.690860,0.048601,0.222200,0.202996
70,0.878323,0.117192,0.735900,0.041415,5.047849,4.662360,0.227220,0.207495,0.975685,0.126261,0.684740,0.049767,0.227140,0.207421
75,0.900717,0.046999,0.728900,0.016564,5.331270,5.073126,0.232560,0.212772,0.999760,0.053177,0.677600,0.021827,0.232540,0.212752
80,0.861728,0.094574,0.745680,0.035317,7.232547,5.090457,0.150520,0.205914,0.962193,0.097749,0.697520,0.040529,0.150500,0.205885
85,0.936934,0.018359,0.714340,0.013363,1.641339,0.017701,0.379340,0.009666,1.043760,0.017602,0.656500,0.012072,0.379280,0.009642
90,0.858829,0.103107,0.741960,0.029324,6.879405,4.792470,0.152800,0.209609,0.964442,0.102808,0.688980,0.033831,0.152800,0.209609
95,0.826141,0.061360,0.749720,0.030392,8.755256,4.059687,0.076120,0.170042,0.923435,0.062982,0.702480,0.031137,0.076100,0.169997
100,0.902940,0.122969,0.725160,0.043325,5.204099,4.854040,0.216300,0.197769,1.004097,0.124958,0.673180,0.047265,0.216240,0.197716
105,0.720278,0.171429,0.787740,0.046241,3.232946,3.715249,0.319620,0.179221,0.825813,0.176382,0.734600,0.054638,0.319540,0.179180
110,0.436267,0.144088,0.869000,0.038511,7.722960,3.564213,0.087800,0.193086,0.530681,0.152561,0.827300,0.047533,0.087800,0.193086
115,0.675342,0.190004,0.802400,0.050115,3.144512,3.525929,0.325220,0.181667,0.781146,0.198109,0.748880,0.060441,0.325220,0.181667
120,0.665503,0.162621,0.808800,0.045840,2.662490,2.478367,0.330380,0.182596,0.771121,0.171751,0.753840,0.054235,0.330360,0.182583
125,0.643820,0.133803,0.809360,0.033538,3.093759,3.411364,0.326780,0.182626,0.755226,0.138341,0.753980,0.041437,0.326780,0.182626
130,0.568124,0.160673,0.828400,0.043724,4.808481,4.528127,0.247880,0.225893,0.677328,0.169369,0.777540,0.054005,0.247860,0.225876
135,0.643506,0.154963,0.809700,0.043198,3.032787,3.217835,0.324040,0.181077,0.754452,0.164299,0.753440,0.053096,0.324020,0.181064
140,0.587674,0.191481,0.826460,0.049226,4.406044,3.995689,0.243360,0.215324,0.697673,0.196202,0.772840,0.059329,0.243320,0.215288
145,0.435318,0.128755,0.867940,0.036405,7.338709,3.289765,0.083620,0.182126,0.538268,0.141079,0.822500,0.046681,0.083620,0.182126
