epoch,clean_loss,clean_acc,pixel_robust_loss,pixel_robust_acc,low_frequency_robust_loss,low_frequency_robust_acc,union_robust_acc,eval_time_sec
5,1.429043,0.506200,1.911871,0.283800,1.513364,0.460900,0.282700,67.75
10,0.985555,0.684800,9.777947,0.000000,1.069046,0.641800,0.000000,68.05
15,0.984242,0.681200,9.862045,0.000000,1.065828,0.642100,0.000000,68.50
20,1.029716,0.665400,1.713499,0.355500,1.134224,0.612000,0.355300,68.61
25,1.015133,0.690500,1.671946,0.361400,1.118146,0.631400,0.361400,68.63
30,0.841189,0.750700,10.514693,0.000100,0.931016,0.708200,0.000000,68.76
35,1.011993,0.700400,1.686608,0.361900,1.116944,0.639900,0.361700,68.72
40,0.907834,0.763300,11.060227,0.000000,1.002113,0.715500,0.000000,68.78
45,0.905613,0.731400,10.740953,0.000200,0.989790,0.690000,0.000200,68.74
50,0.769567,0.781100,10.720442,0.000000,0.856567,0.738500,0.000000,68.70
55,0.778920,0.775000,10.924980,0.000100,0.874241,0.727700,0.000100,68.70
60,0.979618,0.702200,1.683186,0.361600,1.079916,0.648500,0.361600,68.61
65,0.998851,0.691600,1.706057,0.354900,1.105205,0.632900,0.354900,68.58
70,0.771417,0.781400,10.001434,0.000000,0.855213,0.740600,0.000000,68.61
75,0.847325,0.754400,10.852459,0.000000,0.938908,0.708800,0.000000,68.60
80,0.981580,0.696600,1.684117,0.365800,1.084088,0.643800,0.365800,68.52
85,0.953162,0.703500,1.627128,0.384100,1.056624,0.650800,0.384000,68.45
90,0.926944,0.709200,1.597802,0.400800,1.031615,0.653900,0.400800,68.44
95,0.838942,0.733500,9.898671,0.000000,0.936605,0.688300,0.000000,68.49
100,0.846306,0.748100,11.283938,0.000100,0.945931,0.697500,0.000100,68.45
105,0.847331,0.752900,1.606614,0.381400,0.953860,0.695000,0.381300,68.42
110,0.395914,0.885900,8.442120,0.002300,0.487139,0.849600,0.002300,68.49
115,0.803800,0.771400,1.597380,0.390200,0.914206,0.709200,0.390200,68.44
120,0.740633,0.787800,1.544958,0.412300,0.848619,0.729100,0.412300,68.45
125,0.700499,0.791500,1.558770,0.413600,0.813289,0.734600,0.413600,68.45
130,0.411525,0.870000,10.941114,0.000300,0.512537,0.830700,0.000300,68.50
135,0.746056,0.782000,1.630908,0.383000,0.859153,0.722600,0.383000,68.46
140,0.713570,0.795200,1.585689,0.408500,0.826778,0.735100,0.408400,68.46
145,0.425446,0.877800,8.126915,0.001000,0.526795,0.835500,0.001000,68.53
150,0.435825,0.869500,9.018064,0.000300,0.531464,0.827100,0.000300,68.54
155,0.681650,0.805700,1.594660,0.397700,0.797075,0.746200,0.397700,68.48
160,0.337194,0.896100,4.565802,0.101500,0.454671,0.848300,0.101500,68.49
165,0.340182,0.904000,6.075367,0.025700,0.444448,0.861000,0.025700,68.53
170,0.642641,0.814200,1.609503,0.405600,0.762465,0.751100,0.405600,68.45
175,0.356866,0.894500,4.214604,0.111600,0.473309,0.844200,0.111600,68.48
180,0.336984,0.903100,6.540122,0.020800,0.446031,0.858400,0.020800,68.52
185,0.631975,0.815400,1.671837,0.387800,0.756444,0.753900,0.387800,68.46
190,0.636928,0.818300,1.639053,0.401500,0.757396,0.755600,0.401500,68.46
195,0.351767,0.896200,4.324111,0.114800,0.470014,0.843800,0.114800,68.50
200,0.362583,0.892900,4.066267,0.124000,0.478364,0.844300,0.124000,68.48
