epoch,clean_loss_mean,clean_loss_std,clean_acc_mean,clean_acc_std,pixel_robust_loss_mean,pixel_robust_loss_std,pixel_robust_acc_mean,pixel_robust_acc_std,low_frequency_robust_loss_mean,low_frequency_robust_loss_std,low_frequency_robust_acc_mean,low_frequency_robust_acc_std,union_robust_acc_mean,union_robust_acc_std
5,1.270539,0.019036,0.577020,0.013052,1.747549,0.021920,0.338660,0.007786,1.351529,0.019757,0.532000,0.012025,0.337780,0.007828
10,1.072341,0.020025,0.653680,0.012055,1.653731,0.015457,0.376240,0.007776,1.165234,0.020544,0.604900,0.010084,0.375860,0.007782
15,0.995020,0.012479,0.683160,0.010248,1.612284,0.022110,0.395420,0.007720,1.091662,0.013753,0.631980,0.008495,0.395320,0.007674
20,0.948480,0.017220,0.697080,0.010684,1.595641,0.020898,0.400500,0.007189,1.048512,0.016732,0.644600,0.009711,0.400360,0.007184
25,0.906728,0.012814,0.715620,0.008311,1.579368,0.020857,0.402720,0.008309,1.009117,0.009963,0.662340,0.005649,0.402520,0.008430
30,0.875509,0.025749,0.724140,0.014297,1.578844,0.014544,0.407820,0.006068,0.979279,0.023600,0.669640,0.014050,0.407680,0.006221
35,0.871368,0.009722,0.731920,0.008041,1.573773,0.038385,0.408560,0.013126,0.976215,0.006464,0.676640,0.006286,0.408420,0.013114
40,0.874700,0.016711,0.724860,0.016530,1.570651,0.025602,0.408920,0.011742,0.978684,0.019069,0.671160,0.014970,0.408820,0.011797
45,0.858771,0.031040,0.735160,0.013251,1.571030,0.028525,0.408440,0.012678,0.965648,0.029317,0.679000,0.010688,0.408340,0.012651
50,0.854932,0.019054,0.730760,0.008894,1.613465,0.019959,0.400640,0.007081,0.965379,0.018634,0.675380,0.007453,0.400500,0.006962
55,0.838030,0.013478,0.740340,0.004799,1.581762,0.033765,0.410700,0.013774,0.946224,0.015643,0.682900,0.008290,0.410600,0.013799
60,0.829582,0.016495,0.738320,0.006788,1.579037,0.027424,0.408660,0.011606,0.939399,0.015925,0.682900,0.008313,0.408600,0.011582
65,0.829039,0.015853,0.741120,0.011156,1.591386,0.018159,0.402820,0.004952,0.938773,0.012295,0.684140,0.007571,0.402740,0.004929
70,0.834680,0.004553,0.738380,0.005862,1.601876,0.025261,0.399840,0.008344,0.945816,0.004358,0.680320,0.003992,0.399780,0.008416
75,0.817233,0.007678,0.746900,0.004676,1.576447,0.025500,0.411940,0.009242,0.928763,0.004992,0.689320,0.004077,0.411880,0.009236
80,0.819393,0.017527,0.746500,0.010617,1.577781,0.023141,0.406560,0.009071,0.930003,0.018612,0.689920,0.010524,0.406480,0.009061
85,0.818865,0.015890,0.745580,0.008037,1.590921,0.037619,0.406420,0.013242,0.932680,0.018208,0.687180,0.006588,0.406320,0.013281
90,0.827607,0.019193,0.746120,0.007216,1.589411,0.006978,0.408280,0.002423,0.936814,0.019121,0.690100,0.008230,0.408240,0.002371
95,0.817438,0.021633,0.745180,0.011013,1.588298,0.028775,0.406420,0.009312,0.929353,0.018106,0.689060,0.009600,0.406340,0.009397
100,0.812099,0.015936,0.744300,0.008412,1.582049,0.017279,0.410160,0.002974,0.923452,0.014533,0.687440,0.007827,0.410120,0.002951
105,0.595891,0.007512,0.813800,0.004186,1.522292,0.027118,0.447280,0.007559,0.718197,0.008881,0.754400,0.005165,0.447280,0.007559
110,0.577235,0.004400,0.818860,0.003593,1.590192,0.019643,0.442560,0.003753,0.707353,0.004923,0.754380,0.004285,0.442560,0.003753
115,0.567901,0.005353,0.818620,0.004011,1.702477,0.027925,0.428200,0.008820,0.710780,0.006830,0.753140,0.004146,0.428200,0.008820
120,0.569944,0.011198,0.817360,0.002921,1.761414,0.013476,0.421720,0.003319,0.717750,0.012269,0.752640,0.005002,0.421700,0.003308
125,0.566997,0.010075,0.815560,0.003409,1.857908,0.024996,0.407220,0.003047,0.725335,0.009610,0.747700,0.003390,0.407220,0.003047
130,0.570012,0.011053,0.812960,0.003014,1.928805,0.033447,0.402340,0.008118,0.736487,0.011641,0.743260,0.004235,0.402320,0.008134
135,0.572911,0.016041,0.812360,0.005403,1.977105,0.044649,0.399440,0.010140,0.744741,0.017090,0.742860,0.006948,0.399440,0.010140
140,0.565321,0.007702,0.814080,0.003321,2.004206,0.037614,0.398880,0.007643,0.739933,0.010184,0.742860,0.004027,0.398880,0.007643
145,0.560889,0.009316,0.815700,0.003026,2.069333,0.050644,0.395960,0.010468,0.742744,0.014134,0.746160,0.003933,0.395940,0.010440
150,0.571050,0.011240,0.812280,0.003952,2.166709,0.031879,0.385620,0.005991,0.764875,0.011990,0.737560,0.005193,0.385620,0.005991
155,0.529873,0.006537,0.827280,0.001551,2.466059,0.025411,0.389900,0.001241,0.760256,0.005311,0.748580,0.002139,0.389900,0.001241
160,0.539222,0.006343,0.826140,0.002407,2.667782,0.048078,0.382140,0.004110,0.791049,0.011272,0.745400,0.003667,0.382140,0.004110
165,0.552116,0.004616,0.824660,0.002263,2.857885,0.037443,0.376360,0.003210,0.824394,0.007603,0.741540,0.002223,0.376360,0.003210
170,0.559011,0.008285,0.825880,0.003546,3.020062,0.057207,0.373700,0.004785,0.847773,0.013279,0.740380,0.005117,0.373700,0.004785
175,0.571514,0.006824,0.824360,0.003675,3.182399,0.039719,0.367520,0.003696,0.878097,0.010134,0.736980,0.003728,0.367520,0.003696
180,0.583587,0.008187,0.822140,0.001638,3.327256,0.039167,0.363260,0.003374,0.906467,0.011964,0.734900,0.002797,0.363260,0.003374
185,0.594699,0.007431,0.820960,0.002200,3.459023,0.052527,0.361160,0.004903,0.933136,0.011808,0.733120,0.003053,0.361160,0.004903
190,0.607492,0.008392,0.819880,0.003115,3.615179,0.064577,0.353920,0.005010,0.962543,0.014954,0.729720,0.003427,0.353920,0.005010
195,0.614390,0.006037,0.821640,0.003627,3.729449,0.037335,0.354560,0.003167,0.983140,0.010591,0.729680,0.002974,0.354560,0.003167
200,0.626775,0.006604,0.820060,0.003020,3.840995,0.070327,0.352200,0.006703,1.009992,0.011046,0.727400,0.002522,0.352200,0.006703
