epoch,clean_loss,clean_acc,pixel_robust_loss,pixel_robust_acc,low_frequency_robust_loss,low_frequency_robust_acc,union_robust_acc,eval_time_sec
5,1.241025,0.595500,1.688526,0.362500,1.324032,0.547800,0.361600,70.88
10,1.029253,0.659900,1.588880,0.397200,1.130904,0.606900,0.397000,70.44
15,0.982383,0.683400,1.541054,0.415500,1.082203,0.632500,0.415400,70.39
20,0.953342,0.699800,1.531919,0.420900,1.054857,0.648700,0.420600,70.39
25,0.877987,0.730100,1.498148,0.435000,0.977526,0.678200,0.434800,70.40
30,0.855676,0.735400,1.499333,0.433800,0.957690,0.683500,0.433700,70.37
35,0.895735,0.721800,1.454046,0.457500,0.990117,0.675100,0.457500,70.37
40,0.866513,0.717200,1.475013,0.436000,0.967226,0.666400,0.435900,70.36
45,0.833012,0.742300,1.466920,0.448300,0.939635,0.689900,0.448200,70.34
50,0.862688,0.719900,1.504920,0.424500,0.970436,0.663800,0.424300,70.35
55,0.819153,0.748800,1.435312,0.457600,0.916395,0.700200,0.457600,70.34
60,0.825771,0.740400,1.470637,0.443000,0.929865,0.688400,0.442700,70.34
65,0.810767,0.750700,1.451287,0.451400,0.916186,0.693900,0.451100,70.34
70,0.831737,0.741200,1.459297,0.444000,0.936188,0.684700,0.444000,70.35
75,0.822134,0.750200,1.451470,0.450500,0.927268,0.693800,0.450300,70.32
80,0.807679,0.755500,1.442554,0.455400,0.913920,0.698400,0.455200,70.31
85,0.779601,0.762900,1.468363,0.438600,0.886567,0.706400,0.438500,70.32
90,0.810383,0.736200,1.469472,0.445400,0.911344,0.683800,0.445000,70.34
95,0.808503,0.764000,1.458414,0.449100,0.911524,0.710800,0.449100,70.32
100,0.808425,0.735800,1.478703,0.443600,0.912470,0.685900,0.443600,70.35
105,0.568482,0.828000,1.290951,0.507600,0.675067,0.776800,0.507600,70.35
110,0.538640,0.835100,1.347003,0.505000,0.650934,0.788100,0.505000,70.33
115,0.533610,0.830400,1.452022,0.487300,0.657552,0.777700,0.487200,70.36
120,0.544445,0.831800,1.451868,0.488700,0.671906,0.772100,0.488700,70.36
125,0.530267,0.831000,1.556033,0.480000,0.669262,0.772100,0.480000,70.35
130,0.529780,0.831100,1.592947,0.474800,0.673204,0.770600,0.474800,70.37
135,0.522136,0.835900,1.602083,0.473100,0.671139,0.771100,0.473100,70.35
140,0.515913,0.831500,1.695996,0.466900,0.669856,0.770600,0.466900,70.37
145,0.529929,0.827100,1.761013,0.460200,0.694335,0.760100,0.460200,70.36
150,0.535437,0.832100,1.820403,0.457200,0.706031,0.761600,0.457200,70.37
155,0.473357,0.849500,2.022913,0.464200,0.669811,0.780900,0.464200,70.37
160,0.479236,0.848500,2.215267,0.457800,0.699561,0.778600,0.457800,70.36
165,0.493511,0.845300,2.359684,0.449100,0.731787,0.775500,0.449100,70.37
170,0.500157,0.846100,2.490384,0.447600,0.752351,0.775900,0.447600,70.38
175,0.514038,0.842400,2.633510,0.440700,0.783434,0.771600,0.440700,70.39
180,0.521960,0.845500,2.769053,0.437900,0.804038,0.773800,0.437900,70.38
185,0.535700,0.843000,2.941705,0.432800,0.837611,0.767100,0.432800,70.39
190,0.544817,0.840900,3.017620,0.429900,0.858736,0.766000,0.429900,70.39
195,0.552869,0.842100,3.116940,0.429200,0.876903,0.763100,0.429200,70.38
200,0.561906,0.842700,3.283170,0.424000,0.906931,0.761200,0.424000,70.38
